,timestamp,x,y
0,0.863893,600,535
1,1.005618,610,535
2,1.162005,620,535
3,1.302049,630,535
4,1.434207,640,535
5,1.56859,650,535
6,1.70311,660,535
7,1.850317,670,535
8,1.984648,680,535
9,2.116196,690,535
10,2.249815,700,535
11,2.378755,710,535
12,2.506246,720,535
13,2.642652,730,535
14,2.783219,740,535
15,2.915578,750,535
16,3.050402,760,535
17,3.187101,770,535
18,3.331925,780,535
19,3.487739,790,535
20,3.661333,800,535
21,3.834504,810,535
22,4.00206,820,535
23,4.175841,830,535
24,4.348851,840,535
25,4.527486,850,535
26,4.704842,860,535
27,4.880061,870,535
