,timestamp,x,y
0,3.580169,600,554
1,0.14447,610,554
2,0.283317,620,554
3,0.416309,630,554
4,0.556024,640,554
5,0.707048,650,554
6,0.866929,660,554
7,1.033116,670,554
8,1.207423,680,554
9,1.386737,690,554
10,1.567941,700,554
11,1.746725,710,554
12,1.927609,720,554
13,2.112515,730,554
14,2.300201,740,554
15,2.476367,750,554
16,2.648418,760,554
17,2.825117,770,554
18,2.999118,780,554
19,3.179165,790,554
20,3.361165,800,554
21,3.544799,810,554
22,3.72509,820,554
23,3.906481,830,554
24,4.095012,840,554
25,4.287832,850,554
26,4.4777,860,554
27,4.668676,870,554
28,4.874145,880,554
