,timestamp,x,y
0,0.234608,600,435
1,0.224837,610,435
2,0.44477,620,435
3,0.656602,630,435
4,0.856092,640,435
5,1.059873,650,435
6,1.255913,660,435
7,1.45325,670,435
8,1.639667,680,435
9,1.821168,690,435
10,2.001411,700,435
11,2.198239,710,435
12,2.378838,720,435
13,2.559772,730,435
14,2.742743,740,435
15,2.918753,750,435
16,3.09919,760,435
17,3.276924,770,435
18,3.461367,780,435
19,3.644141,790,435
20,3.82568,800,435
21,4.021404,810,435
22,4.240943,820,435
23,4.448651,830,435
24,4.647457,840,435
25,4.838092,850,435
