,timestamp,x,y
0,1.610829,600,614
1,1.812273,610,614
2,2.013271,620,614
3,0.181998,630,614
4,0.369525,640,614
5,0.55488,650,614
6,0.741924,660,614
7,0.934004,670,614
8,1.12175,680,614
9,1.316724,690,614
10,1.508245,700,614
11,1.69336,710,614
12,1.871663,720,614
13,2.049416,730,614
14,2.229477,740,614
15,2.419794,750,614
16,2.606003,760,614
17,2.793972,770,614
18,2.983656,780,614
19,3.16679,790,614
20,3.354343,800,614
21,3.539262,810,614
22,3.721932,820,614
23,3.905147,830,614
24,4.092322,840,614
25,4.278685,850,614
26,4.466893,860,614
27,4.65674,870,614
28,4.841365,880,614
