,timestamp,x,y
0,0.0,600,472
1,0.45511,612,472
2,0.665116,624,472
3,0.869429,636,472
4,1.067005,648,472
5,1.263137,660,472
6,1.450641,672,472
7,1.638229,684,472
8,1.819976,696,472
9,2.004802,708,472
10,2.189956,720,472
11,2.387047,732,472
12,2.57255,744,472
13,2.751625,756,472
14,2.932323,768,472
15,3.107663,780,472
16,3.286439,792,472
17,3.456371,804,472
18,3.623968,816,472
19,3.793867,828,472
20,3.963314,840,472
21,4.178426,852,472
22,4.430327,864,472
23,4.667987,876,472
24,4.899972,888,472
25,5.118842,900,472
26,5.320537,912,472
27,5.512296,924,472
28,5.698323,936,472
29,5.887308,948,472
30,6.069602,960,472
31,6.253218,972,472
32,6.4322,984,472
33,6.609133,996,472
34,6.782299,1008,472
35,6.958409,1020,472
36,7.134642,1032,472
37,7.320894,1044,472
38,7.493539,1056,472
39,7.664511,1068,472
40,7.841535,1080,472
41,8.035566,1092,472
42,8.230915,1104,472
43,8.416994,1116,472
44,8.596484,1128,472
45,8.781515,1140,472
