,timestamp,x,y
0,13.724117,1150,278
1,13.969241,1140,278
2,14.20664,1130,278
3,14.448318,1120,278
4,14.695938,1110,278
5,14.961929,1100,278
6,15.338777,1090,278
7,15.458282,1080,278
8,15.716397,1070,278
9,15.962216,1060,278
10,16.23483,1050,278
11,16.646026,1040,278
12,16.761253,1030,278
13,16.997634,1020,278
14,17.241268,1010,278
15,17.485964,1000,278
16,17.746353,990,278
17,18.142792,980,278
18,18.402881,970,278
19,18.517366,960,278
20,18.782608,950,278
21,19.203298,940,278
22,19.293845,930,278
23,19.685907,920,278
24,19.784249,910,278
25,20.02976,900,278
26,20.449467,890,278
27,20.553065,880,278
28,20.813669,870,278
29,21.239677,860,278
30,21.504281,850,278
31,21.603477,840,278
32,21.99957,830,278
33,22.095092,820,278
34,22.341225,810,278
35,22.60321,800,278
36,22.997284,790,278
37,23.097194,780,278
38,23.365766,770,278
39,23.771365,760,278
40,23.890749,750,278
41,24.157792,740,278
42,24.405871,730,278
43,24.670595,720,278
44,24.91964,710,278
45,25.188466,700,278
46,25.610563,690,278
47,25.839937,680,278
48,25.940251,670,278
49,26.185376,660,278
50,26.567097,650,278
51,26.665029,640,278
52,27.054924,630,278
53,27.159982,620,278
54,27.421585,610,278
55,27.816923,600,278
56,27.913494,590,278
57,28.318354,580,278
58,28.437325,570,278
59,28.698887,560,278
60,28.943448,550,278
61,29.194916,540,278
62,29.462181,530,278
63,29.708023,520,278
64,29.974442,510,278
