,t,dist
0,0.198854,164.23095188044047
1,0.405121,166.6034046604223
2,0.600175,167.7155329717555
3,0.7976,165.4610561767062
4,0.98199,173.68018181576033
5,1.162458,166.85364511717717
6,1.336903,168.07447092815076
7,1.517726,177.8711300039691
8,1.698669,182.66856750835805
9,1.874268,181.67285922167292
10,2.050155,184.900949459734
11,2.225795,184.8766105030896
12,2.401885,190.00592096037434
13,2.580797,179.17162783828869
14,2.764204,176.2159344541678
15,2.942254,181.00767325662687
16,3.121451,179.85070969495163
17,3.310709,186.00029868554267
18,3.508424,184.83340847608932
19,3.707583,187.6811717307365
20,3.904742,173.35136124197132
21,4.099057,178.8613677932965
22,4.297512,189.33340669012662
23,4.488573,184.8502396836723
24,4.673806,193.84200324548402
25,4.863927,188.83517210049143
26,5.041431,189.01241875719285
27,5.228783,176.17620598581286
28,5.414157,185.6678635508998
29,5.601735,181.66674311925001
30,5.791588,167.88926575441192
31,5.980507,164.56618054077137
32,6.17055,161.84028478032832
33,6.359795,163.85783133219138
34,6.538973,172.12277594786815
35,6.727942,164.04479401811093
36,6.910622,165.71905610265696
37,7.096257,167.38520112469783
38,7.28204,164.55706541433509
39,7.468008,164.71127938169735
40,7.658158,163.72402253657086
41,7.858938,162.077142126828
42,8.04271,162.04937519163713
43,8.230286,166.53336335734977
44,8.418635,167.37723527675112
45,8.603507,165.86683078770014
46,8.791408,164.18570109618088
47,8.976069,167.71437359722958
48,9.156006,164.85490253216275
49,9.339212,168.85184169692806
50,9.526458,168.1785592094836
51,0.170074,167.17863034623903
52,0.35333,169.17331678226066
53,0.540159,176.53147342927574
54,0.179819,170.3362687287838
55,0.187937,165.70019781386975
56,0.183975,168.51615484707827
57,0.182612,168.67663014050157
58,0.184951,169.0362387182109
59,0.374365,168.85710592753335
60,0.566259,164.7193741556294
61,0.766659,167.2414256230927
62,0.973679,169.40713614773668
63,1.168745,165.34979756732565
64,1.3645,166.36673011419344
65,1.547756,160.92734730651316
66,1.734158,159.87929474728395
67,1.926917,150.00037036991313
68,2.119485,142.84509869863308
69,2.31551,149.00037285561103
70,2.511473,149.1667597765072
71,2.707233,159.34309593522465
72,2.897011,165.73238133274447
73,3.091913,162.50034187998224
74,3.281329,161.50696579404865
75,3.463421,161.76019631266252
76,3.649605,165.35223346272377
77,3.830631,155.7023513702418
78,4.012666,159.51706631092625
79,4.191692,156.44212632436603
80,4.361456,150.6999410159879
81,4.535103,147.20828026227937
82,4.710541,140.33372921559365
83,4.886123,136.21602532578743
84,5.071228,144.6537052565348
85,5.265447,146.95587017121082
86,5.457439,142.83343057172888
87,5.644787,143.6744970797222
88,5.831807,151.01802688568154
89,6.029905,151.0014716631744
90,6.238645,148.7040311790131
91,6.449579,152.00082236619647
92,6.648085,150.67118356061175
93,6.847453,157.52856883752858
94,7.041291,155.5022329243039
95,7.228177,155.9487985775388
96,7.414648,152.94461597439627
97,7.608839,139.53981908799764
98,7.796614,146.34206503941368
99,7.98675,155.726969048039
100,8.16775,145.81914216666553
101,8.358757,147.74574631966757
102,8.536725,149.30217308830066
103,8.72984,147.44876699684158
104,8.912647,138.89104442771762
105,9.094933,141.18742468396
106,9.831924,126.87537629938724
107,10.034348,132.2253967872873
108,10.613259,139.39552041264136
109,11.002929,126.8885118694535
110,11.21082,115.95844562217584
111,11.787901,114.07076263832421
112,11.985705,114.95760087962866
113,12.185628,118.44513497818305
114,12.383715,105.67415851464251
115,12.593074,118.50480534091804
116,12.789809,119.20861732460641
117,12.990921,115.80107464479296
118,13.20515,118.21190953349647
119,13.411612,117.4820317230587
120,13.615879,119.52707735999489
121,13.81672,118.36114696601716
122,14.022522,97.39510026462096
123,14.221103,117.60019368842713
124,14.429757,117.6069253440838
125,14.829073,114.28448908073418
126,15.038753,117.3224426763932
127,15.247118,113.83528548838542
128,15.445874,118.37288071551231
129,15.640887,105.96081560862228
130,15.838946,116.27744598349437
131,16.034602,117.79690620347849
132,16.221968,119.69231387186063
133,16.412129,121.14786649196735
134,16.600903,113.95479123075279
135,16.779126,116.46661419575226
136,17.3244,115.31033007593997
137,17.668833,116.51084832657337
138,17.848933,116.80622605171547
139,18.029206,110.71196362132179
140,18.217946,119.16678321672619
141,18.404984,131.96127378052154
142,18.758802,121.50011431178888
143,18.940085,125.9463069018787
144,19.12668,118.33345070416712
145,20.009503,121.94283724579958
146,20.194245,117.28798839703157
147,20.374586,120.93673736480761
148,20.558664,116.44800938139254
149,20.754609,114.5785756588028
150,20.934882,100.23818855328761
151,21.110896,108.83958634410351
152,21.286702,119.87551413399187
153,21.465934,110.35460520018584
154,21.640187,120.04744432468729
155,22.712468,114.65079832062031
156,23.806535,115.41723826573262
157,23.994696,113.78049041905207
158,24.181949,116.57949124000231
159,24.370004,115.1724552332043
160,24.56717,113.43230972209314
161,24.755986,114.88206513154653
162,24.947131,106.24290826006012
163,25.69479,117.16429585083596
164,25.873584,108.90018365457425
165,26.05448,113.54502288617599
166,26.434182,108.2930694407028
167,26.625497,110.24177973889935
168,31.367977,106.66888018536615
